Years,Var1A,Var1B,Var2A,Var2B,Var3,Var4,Var5,Var6,Var7
1990,17043.71162,18307.63354,17659.33357,18278.36325,12679.50296,15077.9991,142297.1414,104547.3001,106359.4446
1991,13128.8249,18601.56711,14939.85484,18812.3309,11551.74657,15667.47242,144434.605,108588.4872,110682.4193
1992,15717.73917,17005.51895,16334.42946,17426.64483,12855.63565,16032.21023,139388.5397,103488.707,105627.4654
1993,16956.72327,17626.58292,14971.22105,17949.01138,14511.73921,14788.17334,134553.677,99693.93673,101633.4446
1994,18220.97255,17220.92769,15929.56956,17479.05964,15684.96864,15665.37002,134750.3736,99328.072,101341.7444
1995,17306.86325,17051.46566,15064.95468,17228.98999,16712.31989,17265.88598,137026.5118,102114.6168,104732.5671
1996,17018.00113,16347.53175,14092.14081,16513.06807,16690.66893,16732.9191,134477.2678,101069.4848,103872.059
1997,18755.62898,17090.10407,14740.11768,17262.74387,17983.12171,16876.89678,135438.7262,100699.2181,103435.8647
1998,19653.67727,17769.3677,13403.94806,17738.35516,18994.15342,15056.85191,134206.1097,100720.3662,103063.8065
1999,21444.2277,18662.30148,14145.55577,18358.72755,20599.09979,15245.33485,134192.9596,99440.19534,101688.6763
2000,19999.51537,18508.29189,12840.05979,17969.61414,21857.50319,16184.63145,133694.0482,100859.1127,102884.3743
2001,16491.42941,17610.23864,8713.219565,16780.97881,22051.45498,15336.17498,127896.0094,100509.6214,102401.8111
2002,17413.82982,18235.44675,9565.673398,17212.90667,23209.91612,15743.98761,126866.0633,98682.7152,100087.4832
2003,16986.41853,17325.96486,9452.503361,16174.96939,23706.93486,16302.59004,126477.2577,99569.21908,100849.7849
2004,21409.19826,17643.50302,12079.9085,16274.85385,26427.58412,16952.97121,131737.7134,102159.6251,103382.9511
2005,20989.89187,17765.22009,11710.88488,16293.61721,26792.50711,17312.48912,132481.6106,103206.5166,104477.1085
2006,19082.75209,18586.79232,12095.26266,17268.23106,25442.38887,18835.67985,129528.8316,98465.99622,100165.3379
2007,13091.5426,18307.97157,10639.00367,17387.18734,21649.51595,20656.58724,123639.7465,93233.16108,95613.55553
2008,2420.149172,17510.5449,3864.029784,17089.67777,16981.70524,21158.54353,106096.028,81988.49561,85142.32042
2009,-5103.84298,16641.59013,-1820.661733,16646.38236,13114.89322,20616.42382,96032.07059,76992.79283,81206.34996
2010,-2895.938742,16300.85164,-59.18891673,16572.71145,14161.49131,22419.91252,97555.35412,75892.02001,81041.83159
2011,-1887.238991,16171.2825,1998.343559,16804.35346,13922.96713,24671.92037,100848.2008,75815.20404,82045.50377
2012,-298.5597173,16112.0353,1724.395749,16906.41456,14067.43682,23323.55308,103469.5086,78399.91677,84838.6983
2013,2298.360929,16188.34435,2318.944051,16994.17903,15142.07001,22850.52481,107005.0401,80809.88007,87691.91706
2014,12943.66838,17146.43469,6234.963103,17366.3805,19008.7407,18657.41275,98861.14682,69122.3717,75259.80322
2015,13474.08685,17965.44107,7141.216997,17745.38399,19872.27664,18716.92665,100692.3413,70408.1634,75805.74034
2016,13987.12962,18662.34231,7669.092131,18080.28179,20854.52781,18778.73999,102514.4597,71940.77564,76765.08582
2017,15053.10693,19298.76636,8587.548939,18413.03625,21817.51828,18830.10648,104342.5712,72978.10968,77341.98598
2018,16122.35444,19879.95186,9430.203094,18738.10269,22718.9818,18882.87139,106171.249,74005.05312,78002.94322
2019,17273.20118,20418.64413,10305.74513,19060.81727,22339.45566,18564.08299,107997.8912,74081.41861,78631.32885
2020,19912.21381,21027.11086,11083.38829,19377.50749,24728.67627,18500.20801,105780.9002,71070.04377,75320.0044
